obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,guarded_delta_vs_original,original_delta_vs_baseline,guarded_delta_vs_baseline,original_non_degraded,guarded_non_degraded,ndr_transition,benchmark,fallback_applied_x,fallback_applied_y,ndr_delta
42_class-36,2,0.2013743818,0.2005713731,0.2013743818,0,0.2005713731,0.2005713731,0.2013743818,-0.0008030087,0.0008030087,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
43_class-44,4,0.9223892689,0.9149314165,0.9233903885,4,0.9223892689,0.9149314165,0.9233903885,0.0000000000,0.0074578524,0.0074578524,1,1,,COCO-20i,False,False,0.0000000000
44_class-32,0,0.9648476243,0.9648476243,0.9653485417,0,0.9648476243,0.9648476243,0.9653485417,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
45_class-56,2,0.4020285606,0.3854056299,0.4066624045,2,0.4020285606,0.3854056299,0.4066624045,0.0000000000,0.0166229308,0.0166229308,1,1,,COCO-20i,False,False,0.0000000000
46_class-4,4,0.0008200753,0.0006655864,0.0008200753,4,0.0008200753,0.0006655864,0.0008200753,0.0000000000,0.0001544888,0.0001544888,1,1,,COCO-20i,False,False,0.0000000000
47_class-24,4,0.4634378552,0.4263725877,0.4643714428,0,0.4263725877,0.4263725877,0.4643714428,-0.0370652676,0.0370652676,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
48_class-64,4,0.8823118210,0.6851805449,0.8861633539,0,0.6851805449,0.6851805449,0.8861633539,-0.1971312761,0.1971312761,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
49_class-36,0,0.8993319273,0.8993319273,0.8993319273,0,0.8993319273,0.8993319273,0.8993319273,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
50_class-60,2,0.5874167681,0.5832021236,0.6728701591,0,0.5832021236,0.5832021236,0.6728701591,-0.0042146444,0.0042146444,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
51_class-16,4,0.9160121679,0.9149950743,0.9160121679,0,0.9149950743,0.9149950743,0.9160121679,-0.0010170937,0.0010170937,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
52_class-76,1,0.6380841136,0.9385892749,0.9426687956,0,0.9385892749,0.9385892749,0.9426687956,0.3005051613,-0.3005051613,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
53_class-0,5,0.5647103786,0.3872307837,0.5647103786,5,0.5647103786,0.3872307837,0.5647103786,0.0000000000,0.1774795949,0.1774795949,1,1,,COCO-20i,False,False,0.0000000000
54_class-52,2,0.6229105592,0.7086511850,0.7086511850,2,0.6229105592,0.7086511850,0.7086511850,0.0000000000,-0.0857406259,-0.0857406259,0,0,,COCO-20i,False,False,0.0000000000
55_class-28,0,0.9611263275,0.9611263275,0.9613408446,0,0.9611263275,0.9611263275,0.9613408446,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
56_class-76,3,0.6130098104,0.8498178720,0.8640843630,0,0.8498178720,0.8498178720,0.8640843630,0.2368080616,-0.2368080616,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
57_class-60,0,0.5900281668,0.5900281668,0.5900281668,0,0.5900281668,0.5900281668,0.5900281668,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
58_class-20,2,0.9057537317,0.9048712850,0.9064575434,0,0.9048712850,0.9048712850,0.9064575434,-0.0008824468,0.0008824468,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
59_class-76,2,0.6353814006,0.3573347330,0.6353814006,2,0.6353814006,0.3573347330,0.6353814006,0.0000000000,0.2780466676,0.2780466676,1,1,,COCO-20i,False,False,0.0000000000
60_class-56,2,0.8034396172,0.8203754425,0.8203754425,0,0.8203754425,0.8203754425,0.8203754425,0.0169358253,-0.0169358253,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
61_class-60,0,0.2054595947,0.2054595947,0.2262408584,0,0.2054595947,0.2054595947,0.2262408584,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
62_class-32,2,0.9388316870,0.9377005100,0.9388316870,2,0.9388316870,0.9377005100,0.9388316870,0.0000000000,0.0011311769,0.0011311769,1,1,,COCO-20i,False,False,0.0000000000
