sample_id,seed,obj_name,baseline_miou,original_miou,support_fg_miou,original_iter,support_fg_iter,support_fg_fallback,original_non_degraded,support_fg_non_degraded,delta_support_fg_vs_original,delta_original_vs_baseline,delta_support_fg_vs_baseline
seed44:49_class-36,44,49_class-36,0.54046869,0.54046869,0.54046869,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed44:50_class-60,44,50_class-60,0.29846752,0.19003163,0.29846752,4,0,1,0,1,0.10843588,-0.10843588,0.00000000
seed44:51_class-16,44,51_class-16,0.41950777,0.43393064,0.43393064,1,1,0,1,1,0.00000000,0.01442286,0.01442286
seed44:52_class-76,44,52_class-76,0.60827148,0.83716184,0.83716184,3,3,0,1,1,0.00000000,0.22889036,0.22889036
seed44:53_class-0,44,53_class-0,0.47057807,0.47845447,0.47845447,4,4,0,1,1,0.00000000,0.00787640,0.00787640
seed44:54_class-52,44,54_class-52,0.81515229,0.50013661,0.50013661,4,4,0,0,0,0.00000000,-0.31501567,-0.31501567
seed44:55_class-28,44,55_class-28,0.65797603,0.70319295,0.65797603,2,0,1,1,1,-0.04521692,0.04521692,0.00000000
seed44:56_class-76,44,56_class-76,0.50042677,0.50042677,0.50042677,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed44:57_class-60,44,57_class-60,0.53405756,0.72281021,0.53405756,4,0,1,1,1,-0.18875265,0.18875265,0.00000000
seed44:58_class-20,44,58_class-20,0.82609838,0.77369225,0.77369225,5,5,0,0,0,0.00000000,-0.05240613,-0.05240613
seed44:59_class-76,44,59_class-76,0.44821966,0.47113508,0.47113508,4,4,0,1,1,0.00000000,0.02291542,0.02291542
seed44:60_class-56,44,60_class-56,0.38075423,0.38027722,0.38027722,2,2,0,0,0,0.00000000,-0.00047702,-0.00047702
seed44:61_class-60,44,61_class-60,0.42033496,0.42033496,0.42033496,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed44:62_class-32,44,62_class-32,0.83157212,0.73966646,0.83157212,5,0,1,0,1,0.09190565,-0.09190565,0.00000000
seed44:63_class-36,44,63_class-36,0.48683831,0.51768070,0.51768070,2,2,0,1,1,0.00000000,0.03084239,0.03084239
seed44:64_class-52,44,64_class-52,0.96700430,0.96694708,0.96694708,3,3,0,0,0,0.00000000,-0.00005722,-0.00005722
seed44:65_class-12,44,65_class-12,0.00290595,0.00285653,0.00290595,2,0,1,0,1,0.00004942,-0.00004942,0.00000000
seed44:66_class-24,44,66_class-24,0.45869359,0.45869359,0.45869359,0,0,0,1,1,0.00000000,0.00000000,0.00000000
